"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2020","74.918","74.747","74.921","74.682","","0.06%"
"30-07-2020","74.876","74.811","74.954","74.786","","-0.10%"
"29-07-2020","74.948","74.885","74.949","74.690","","0.05%"
"28-07-2020","74.909","74.762","74.939","74.707","","0.15%"
"27-07-2020","74.800","74.768","74.910","74.670","","0.05%"
"24-07-2020","74.760","74.900","74.990","74.694","","-0.07%"
"23-07-2020","74.815","74.605","74.964","74.595","","0.27%"
"22-07-2020","74.610","74.535","74.875","74.510","","0.09%"
"21-07-2020","74.540","74.710","74.880","74.520","","-0.28%"
"20-07-2020","74.750","74.906","75.035","74.740","","-0.20%"
"17-07-2020","74.898","75.194","75.258","74.898","","-0.38%"
"16-07-2020","75.180","75.110","75.300","75.110","","0.07%"
"15-07-2020","75.125","75.305","75.366","75.044","","-0.37%"
"14-07-2020","75.406","75.279","75.558","75.279","","0.26%"
"13-07-2020","75.212","75.218","75.248","75.105","","0.02%"
"10-07-2020","75.195","75.165","75.333","75.144","","0.05%"
"09-07-2020","75.155","74.924","75.155","74.909","","0.28%"
"08-07-2020","74.945","74.838","75.073","74.820","","0.18%"
"07-07-2020","74.810","74.645","74.979","74.635","","0.23%"
"06-07-2020","74.635","74.639","74.830","74.485","","0.00%"
"03-07-2020","74.636","74.597","75.027","74.567","","-0.15%"
"02-07-2020","74.750","75.460","75.540","74.646","","-0.98%"
"01-07-2020","75.490","75.510","75.629","75.466","","-0.07%"
"30-06-2020","75.545","75.523","75.628","75.425","","0.05%"
"29-06-2020","75.510","75.628","75.660","75.458","","-0.15%"
"26-06-2020","75.620","75.580","75.688","75.435","","0.04%"
"25-06-2020","75.587","75.717","75.782","75.503","","-0.10%"
"24-06-2020","75.665","75.486","75.780","75.486","","0.21%"
"23-06-2020","75.503","75.802","75.916","75.455","","-0.38%"
"22-06-2020","75.790","76.268","76.303","75.723","","-0.62%"
"19-06-2020","76.260","76.349","76.373","76.093","","-0.18%"
"18-06-2020","76.400","76.263","76.400","76.046","","0.14%"
"17-06-2020","76.290","76.268","76.370","76.082","","0.05%"
"16-06-2020","76.250","75.865","76.311","75.780","","0.36%"
"15-06-2020","75.979","76.073","76.190","75.936","","-0.09%"
"12-06-2020","76.050","75.992","76.260","75.772","","0.10%"
"11-06-2020","75.971","75.672","75.971","75.579","","0.44%"
"10-06-2020","75.635","75.532","75.676","75.419","","0.17%"
"09-06-2020","75.505","75.458","75.702","75.423","","0.14%"
"08-06-2020","75.400","75.578","75.685","75.400","","-0.21%"
"05-06-2020","75.560","75.432","75.725","75.325","","0.13%"
"04-06-2020","75.459","75.373","75.660","75.355","","0.18%"
"03-06-2020","75.325","75.063","75.555","75.020","","0.30%"
"02-06-2020","75.100","75.553","75.628","74.970","","-0.54%"
"01-06-2020","75.505","75.473","75.773","75.275","","-0.13%"
"29-05-2020","75.605","75.705","75.755","75.448","","-0.07%"
